Unicast,One device sending a message to one other device
URL,Uniform Resource Locator
URN,Uniform Resource Name
URT,Uniform Resource Identifier
UTP,Unshielded Twisted Pair
Virtualisation,"Hypervisors, Bare Metal (OS)"
VPN,Virtual Private Network
WAN,Wide Area Network (Over 1km)
WiFi,Wireless communication technology
Wired Protocols,These define the format for data transmission over physical cables
WLAN,Wireless Local Arean Network
WPA/WPA2,WiFi Protected Access (2)
WWW,World-Wide Web
GOT TO PAGE 41 OF YOUR NOTES,
